No,GK,GK1,GK2,GK3,GEO,GEO1,GEO2,GEO3,SCI,SCI1,SCI2,SCI3,HIS,HIS1,HIS2,HIS3,MAT,MAT1,MAT2,MAT3,ENG,ENG,ENG2,ENG3
1,Which Spanish soccer club won the Champions League in 2016/17?,Atlético Madrid,[Real Madrid],Barcelona,What acid is created when water combines with carbon dioxide?,Hydrofluoric Acid,Sulphuric acid,[Carbonic acid],Electrons are located in the nucleus of an atom. True or False? ,[FALSE],TRUE,X,In what year was Gladstone's first Land Act?,[1870],1925,1854,44  +  28  =,73,69,[72],How do you spell the word alternative?,[Alternative],X,X
2,Where is the biggest annual British tennis competition held?,Brighton,[Wimbledon],Strafford,What are areas affected by the process of carbonation called?,Urban Area,Arid Areas,[Karst Areas],Which is faster: the speed of sound or the speed of light?,[The speed of light],The speed of sound,X,What did the 1872 Ballot Act introduce in Ireland?,[Secret Voting],Elections,Tribunals,2 + 34 + 28 =,74,58,[64],How do you spell the word ambiguous?,[Ambiguous],X,X
3,Where was the Rugby World Cup 2015 held?,New Zealand,[England],South Africa,Carbonation is a form of which type of weathering?,Erosion,Mechanical Weathering,[Chemical Weathering],Is gas one of the states of matter?,[Yes],No,X,In 1873 the home government associations became known as which political party?,[Irish Home Rule League],Fianna Fail,Labour,9 + 18 + 41 =,66,78,[68],How do you spell the word appraise?,[Appraise],X,X
4,Who beat Ireland in the quarter final of the Rugby World Cup 2015?,Wales,[Argentina],Australia,Freeze thaw action is a form of which type of weathering?,Wind Weathering,Chemical Weathering,[Mechanical Weathering],What is an atom made up of?,"[Protons, Neutrons & Electrons]",X,X,Which County did Charles Stuart Parnell represent as an MP in 1875?,[Meath],Derry,Mayo,55 + 14 + 7 =,81,78,[76],How do you spell the word coherent?,[Coherent],X,X
5,"Who won the 100m final in the IAAF Championships in 2017, beating Usain Bolt?",Christian Coleman,[Justin Gatlin],Tyson Gay,Onion Peeling is a form of which type  of weathering?,Wave Weathering,Chemical Weathering,[Mechanical Weathering],How many basic SI Units of measurement are there?,[7],5,3,What were Isaac Butt's supporters called?,[Butts],Legions,Isaacs,11 + 43 + 19 =,75,72,[73],How do you spell the word complacent?,[Complacent],X,X
6,"In 2017, which soccer player became the most expensive transfer at a fee of €222 million?",Paul Pogba,[Neymar Jr.],Gareth Bale,What is another name for onion peeling?,Weathering,Erosion,[Exfoliation],What is the measure of separation between two points called?,Width,Length,[Distance],In what county was Michael Davitt born?,[Mayo],Dublin,Kildare,17 + 18 + 19,56,55,[54],How do you spell the word criteria?,[Criteria],X,X
7,Who won the Senior hurling Championship in 2016?,Tipperary,[Kilkenny],Galway,What loose rock is produced by the freeze thaw action?,Boulder,Gravel,[Scree],What is the distance travelled per unit of time called?,Velocity,Acceleration,[Speed],In the land league what did the 3F's stand for?,"[Fair Rent, Fixity of Tenure, Free Sale]","Freedom, Free Sale, Free Will","Fixed Rent, Fixed Price, Fair Play",9 + 89 + 27 =,135,115,[125],How do you spell the word prognosis?,[Prognosis],X,X
8,Which sport is associated with the Ryder Cup?,Tennis,[Golf],Football,What name is given to the winding section of a river?,Rapids,Ox-bow lake,[A Meander],What is the speed of a body travelling in a certain direction known as?,Force,Mass,[Velocity],In what year was Charles Stuart Parnell elected president of the Home League?,[1880],1840,1908,7 + 47 + 27 =,91,71,[81],How do you spell the word imminent?,[Imminent],X,X
9,What does the abbreviation RPM stand for in Motorsport?,Routes Per Second,[Revolutions per minute],Rapid pin movement,A moraine is a feature of glacial erosion? True or false?,TRUE,[FALSE],X,What is an increased change in speed known as?,Distance,Velocity,[Acceleration],What was the name  Charles Stuart Parnell's mistress?,[Kitty O' Shea],Molly Malone,Nora Hughes,6 + 63 + 29 =,96,88,[98],How do you spell the word energise?,[Energise],X,X
10,To how many points is a game of badminton played?,15,[21],12,Low oval shaped hills deposited by glaciers are called what?,Dunes,Mounds,[Drumlins],What is the mass per unit volume of an object called?,Weight,Mass,[Density],In 1882 who founded the Irish National League?,[Charles Stuart Parnell],Pádraig Pearse,John Redmond,5 + 28 + 33 =,56,65,[66],How do you spell the word facetious?,[Facetious],X,X
