No, General Knowledge ,GK 1,GK 2,GK 3,Geography,GEO 1,GEO 2,GRO 3,Science,SCI 1,SCI 2,SCI 3,History,HIS 1,HIS 2,HIS 3,Maths,MATH 1,MATH 2,MATH 3,English,EN 1,EN 2,EN 3
1,Who picked a peck of pickled pepper?,Peter Pan,Peter Parker,[Peter Piper],What is the capital city of Portugal?,[Lisbon],Madrid ,Nice,In which habitat would you find a frog?,[A Pond],A River,The Sea,The year 1999 is in which century?,[20th Century],19th Century,21st Century,€1.48 cents + €1.18 cents =,[€2.66],€2.96,€3.16,"Spell Correctly the word ""Marmalade""",[Marmalade],X,X
2,In Charlie and the Chocolate Factory  what is Charlie’s surname?,Butter ,Bentley ,[Bucket],What is the capital city of Australia?,Sydney ,Brisbane ,[Canberra],Fingernails grow how many more times faster than toenails?,2 Times,3 Times ,[4 Times],What is the London home of the British Prime Minister?,1 Buckingham Park,10 Oxford Street,[10 Downing Street],10 + 6 is the same as 2 multiplied by?,[8],7,9,Which pair of words are the closest in meaning?,Talkative/loud ,Angry/Sad,[Quiet/Silent]
3,What is the name of Peter Pan’s pirate enemy?,Captain Claw ,[Captain Hook],Captain Croc,What is the capital city of Wales?,Newport,Swansea,[Cardiff],Which of these is not a vegetable?,[Peach],Cabbage,Turnip,What were Spitfires & Hurricanes used in World War II types of?,Tanks,Ships,[Planes],If ham costs €9 per kilogram  what will I pay for 500g,[€4.50],€2.50,€7.50,"What is the opposite of ""After""?",Later,Earlier,[Before]
4,Complete the phrase: Book is to Reading as Fork is to ?,Drawing ,Drinking ,[Eating],What is the capital city of Scotland?,Glasgow ,Aberdeen ,[Edinburgh],Men’s hearts beat faster than women’s hearts: True or False?,[FALSE],X,X,Which ancient people built pyramids ?,Russians ,[Egyptians],Italians,What is the biggest number of the following three numbers: 119  199  229,[229],199,119,"How many vowels in the word ""Chocolate""?",[4],3,5
5,What animals are known for building dams and live in lodges?,Otters,Seals,[Beavers],What is the capital city of France?,Marseille,Nice,[Paris],What is the best way to identify one tree from another?,[Leaves],Branches,Moss,Which businessman founded Virgin Airlines & Virgin Records?,Sir Alan Sugar,[Sir Richard Branson],Michael O’Leary,What three notes when added make €75,[€50  €20  €5],X,X,"Spell Correctly the word ""Building""",[Building],X,X
6,What 2 colours make up the colour purple?,Red & Yellow ,Blue & Green ,[Red & Blue],What is the capital city of Spain?,Malaga,Barcelona,[Madrid],What parts of a tree are underground?,[Roots],Bark,Branch,Who served as President of South Africa from 1994 to 1999?,[Nelson Mandela] ,George W Bush,Tony Blair,A square can be made up of two:,Squares,[Triangles],Circles,"Spell Correctly the word ""Accommodation""",[Accommodation],X,X
7,How many days are there in the month of March?,29,30,[31],In which Irish Province is Wexford?,Munster,[Leinster],Connacht,Which of these is not a vegetable?,[Kiwi],Broccoli,Lettuce,Which war lasted from 1939 to 1945 ?,World War I,[World War II],Vietnam War,Add 54 + 34 + 4 =,74,82,[92],"Spell correctly the word ""Umbrella""",[Umbrella],X,X
8,In which sport do you walk on a beam?,Rounders ,Basketball ,[Gymnastics],Which of the following is NOT a city? Kilkenny  Castlebar  Waterford?,[Castlebar],X,X,Which is the most common blood group in the world?,[Group O],Group A,Group B,Name the ship that was sunk by hitting an iceberg in 1912?,[Titanic],Winslot,Deep Blue,Mike takes one third of Lucy’s sweets. If Lucy had 9 sweets  how many did Mike take? ,[3],5,4,"Spell correctly the word ""Memorable""",[Memorable],X,X
9,Our sink got blocked  who would be the best person to fix it?,An Electrician ,A Bricklayer ,[A Plumber],Approximately what percentage of the Earth’s surface is covered in water?,50%,[70%],45%,How many of your body’s cells die every minute?,Three Thousand,Three Million ,[Three Hundred Million],In what year did the Irish Famine start?,1899,[1845],1898,12 divided by 4 is equal to 9 divided by?,[3],6,4,"How many vowels in the word ""Wheelbarrow""",[4],2,3
10,What sport does Rory McIlroy play?,Rugby,Soccer,[Golf],What is the capital city of Belgium?,Ghent ,Antwerp,[Brussels],The pupil is part of the eye. True or False?,[TRUE],X,X,A Pharaoh was the title given to a ruler of which ancient country?,India,China ,[Egypt],€1.17 cents + €2.57 cents =,[€3.74],€3.96,€3.54,"Spell correctly the word ""Aeroplane""",[Aeroplane],X,X
11,What sport does Shane Long Play?,Snooker,Rugby,[Soccer],Where is the Sahara Desert?,China,Russia,[Africa],All babies are colour blind at birth  they can only see black & white. True or False?,[TRUE],X,X,In what year was the GAA founded?,[1884],1904,1924,Dad has been driving for one hour at 60 km/h. How much distance did he cover in 30mins? ,[30km],19km,45km,"Spell correctly the word ""Resilience""",[Resilience],X,X
12,What sport does Conor Murray play?,Tennis,Football,[Rugby],Atlantic and Pacific are names of what?,Rivers,Mountains ,[Oceans],How many legs does a spider have?,[8],4,6,Which prehistoric period came between the Stone Age and Iron Age??,[Bronze Age],Ice Age ,Industrial Age,Which is heavier 1.5 kg of feathers or 1kg of stones?,[1.5kg of feathers],X,X,"Spell correctly the word ""Beach""",[Beach],X,X
13,What sport does Johnaton Sexton play?,Golf,Soccer,[Rugby],Nore and Liffey are names of what?,Mountains,Lakes,[Rivers],What does a caterpillar turn into?,[Butterfly / Moth],Worm ,Fly,Which country gifted The Statue of Liberty to the United States in 1886? ,Ireland,Italy,[France],Which is longer 1 metre or 90cm?,[1 Metre],X,X,"Spell correctly the word ""Finally""",[Finally],X,X
14,A die has how many faces?,7,[6],5,Lagan and Lee are names of what?,Towns,Cities,[Rivers],What does a tadpole turn into?,[Frog],Butterfly ,Spider,Who was the first American President?,John F. Kennedy ,Bill Clinton ,[George Washington],How many minutes are there in one quarter of an hour? ,[15 Minutes],35 Minutes,25 Minutes,"Spell correctly the word ""Garage""",[Garage],X,X
